ID_RUAS,NO_RUAS,NAMA_RUAS,PANGKAL_RUAS,UJUNG_RUAS,LINGKUNGAN,ID_KELURAHAN,KODE_KELURAHAN,KELURAHAN,ID_KECAMATAN,,KECAMATAN,PANJANG,LEBAR,BAHU_JALAN,ID_PERKERASAN,PERKERASAN,ID_KONDISI,KONDISI,UTILITAS,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,GEOMETRY,IMAGE
1117,1117,JALAN KANTOR POS,JALAN A YANI,JALAN STASIUN,NGAMBAK,25,1001,BERU,8,35.05.17,WLINGI,85.03583359,4,1,2,ASPAL,4,RUSAK BERAT,BAHU JALAN DAN GORONG GORONG,112.3208504,-8.088128781,112.3204652,-8.088147972,112.3200799,-8.088167162,"{""type"":""MultiLineString"",""coordinates"":[[[112.320850444,-8.088128782],[112.320079892,-8.088167162]]]}",1117.jpg
1118,1118,JALAN STASIUN,JALAN A YANI,JALAN YOS SUDARSO,NGAMBAK,25,1001,BERU,8,35.05.17,WLINGI,386.5416682,4,"0,5",2,ASPAL,3,RUSAK RINGAN,BAHU JALAN,112.3208733,-8.088501966,112.3194108,-8.087643052,112.3179897,-8.08662345,"{""type"":""MultiLineString"",""coordinates"":[[[112.320873267,-8.088501966],[112.320631994,-8.088506335],[112.320527522,-8.088495906],[112.320079892,-8.088167162],[112.318592373,-8.087001943],[112.318144908,-8.086723442],[112.318025834,-8.086652046],[112.317989728,-8.08662345]]]}",1118.jpg
1119,1119,GANG SUNGAI,JALAN KROMASAN TIMUR,BUNTU,KROMASAN,25,1001,BERU,8,35.05.17,WLINGI,100.8197092,3,0,2,ASPAL,4,RUSAK BERAT,,112.3062172,-8.104392126,112.3066554,-8.104522871,112.3070935,-8.104653616,"{""type"":""MultiLineString"",""coordinates"":[[[112.306217211,-8.104392126],[112.307093524,-8.104653616]]]}",1119.jpg
1120,1120,JALAN BROMO,JALAN URIP SUMOHARJO/BATAS KELURAHAN BABADAN-BERU,JALAN MERAPI,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,838.0929145,12,2,2,ASPAL,3,RUSAK RINGAN,GORONGGORONG,112.3248708,-8.080511163,112.3269875,-8.077365723,112.3286046,-8.073956634,"{""type"":""MultiLineString"",""coordinates"":[[[112.324870835,-8.080511163],[112.325649882,-8.07929232],[112.326409854,-8.078225114],[112.327217399,-8.077023763],[112.327958986,-8.075475687],[112.328602747,-8.074114557],[112.328604631,-8.073956634]]]}",1120.jpg
1121,1121,JALAN BROMO DALAM,JALAN BROMO,GANG 6,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,443.9460173,3,"0,8",2,ASPAL,3,RUSAK RINGAN,"SALURAN AIR KIRI, BAHU JALAN KANAN 2M",112.3248708,-8.080511163,112.3262131,-8.080236154,112.32684,-8.078333782,"{""type"":""MultiLineString"",""coordinates"":[[[112.324870835,-8.080511163],[112.325852121,-8.081048728],[112.325997072,-8.080773698],[112.326151851,-8.08038319],[112.326373389,-8.079851297],[112.326473526,-8.079638023],[112.326556843,-8.07942002],[112.32669082,-8.078982682],[112.326839951,-8.078333782]]]}",1121.jpg
1122,1122,GANG 1/2,JALAN BROMO DALAM,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,100.2555987,2,0,3,BETON,3,RUSAK RINGAN,,112.3265568,-8.079420019,112.3269871,-8.079566969,112.3274173,-8.079713919,"{""type"":""MultiLineString"",""coordinates"":[[[112.326556843,-8.07942002],[112.327417291,-8.07971392]]]}",1122.jpg
1123,1123,GANG 2/3,JALAN BROMO DALAM,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,71.5090416,2,0,3,BETON,4,RUSAK BERAT,,112.3264735,-8.079638023,112.3267728,-8.079762668,112.3270721,-8.079887312,"{""type"":""MultiLineString"",""coordinates"":[[[112.326473526,-8.079638023],[112.327072142,-8.079887312]]]}",1123.jpg
1124,1124,GANG 3/4,JALAN BROMO DALAM,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,61.98770179,2.3,0,3,BETON,4,RUSAK BERAT,,112.3263734,-8.079851296,112.3266318,-8.079961718,112.3268903,-8.080072139,"{""type"":""MultiLineString"",""coordinates"":[[[112.326373389,-8.079851297],[112.326890284,-8.080072139]]]}",1124.jpg
1125,1125,GANG 5/6,JALAN BROMO DALAM,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,73.56333868,2.4,0,3,BETON,4,RUSAK BERAT,,112.3261519,-8.08038319,112.3264631,-8.08050301,112.3267744,-8.08062283,"{""type"":""MultiLineString"",""coordinates"":[[[112.326151851,-8.08038319],[112.326774443,-8.080622831]]]}",1125.jpg
1126,1126,GANG 5/6,JALAN BROMO DALAM,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,62.06560722,2.2,0,3,BETON,4,RUSAK BERAT,,112.3259971,-8.080773698,112.3262543,-8.080887712,112.3265116,-8.081001726,"{""type"":""MultiLineString"",""coordinates"":[[[112.325997072,-8.080773698],[112.326511592,-8.081001726]]]}",1126.jpg
1127,1127,GANG 6/7,JALAN BROMO DALAM,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,61.49528503,3.5,0,3,BETON,3,RUSAK RINGAN,,112.3258521,-8.081048728,112.3260876,-8.081197806,112.3263231,-8.081346884,"{""type"":""MultiLineString"",""coordinates"":[[[112.325852121,-8.081048728],[112.326323055,-8.081346884]]]}",1127.jpg
1128,1128,JALAN BROMO BARAT,JALAN BROMO,JALAN TERMINAL,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,173.3859041,3,"0,5",2,ASPAL,3,RUSAK RINGAN,BAHU JALAN KANAN 1M,112.3264099,-8.078225114,112.3256698,-8.077959695,112.3249249,-8.077817588,"{""type"":""MultiLineString"",""coordinates"":[[[112.326409854,-8.078225114],[112.325775151,-8.078000984],[112.325310243,-8.077818732],[112.325182877,-8.077780862],[112.325083796,-8.077766229],[112.32492491,-8.077817588]]]}",1128.jpg
1129,1129,GANG 1,JALAN BROMO BARAT,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,116.3338992,2,"0,5",3,BETON,4,RUSAK BERAT,BAHU JALAN,112.3256746,-8.077961558,112.3254783,-8.078449779,112.3252821,-8.078938,"{""type"":""MultiLineString"",""coordinates"":[[[112.325674579,-8.077961558],[112.325282083,-8.078937999]]]}",1129.jpg
1130,1130,GANG 2,JALAN BROMO BARAT,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,66.70812565,2,0,3,BETON,4,RUSAK BERAT,,112.3254788,-8.077884802,112.3253796,-8.078169743,112.3252805,-8.078454683,"{""type"":""MultiLineString"",""coordinates"":[[[112.32547878,-8.077884802],[112.325280506,-8.078454683]]]}",1130.jpg
1131,1131,JALAN BROMO UTARA,JALAN BROMO,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,168.4496578,3.5,1,2,ASPAL,3,RUSAK RINGAN,BAHU JALAN,112.3272174,-8.077023763,112.3279433,-8.077258827,112.3282582,-8.076678232,"{""type"":""MultiLineString"",""coordinates"":[[[112.327217399,-8.077023763],[112.328051355,-8.077293821],[112.328258212,-8.076678232]]]}",1131.jpg
1132,1132,GANG MASJID,JALAN BROMO,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,155.8607947,3,"1,5",2,ASPAL,3,RUSAK RINGAN,GORONGGORONG,112.3264099,-8.078225114,112.3271007,-8.0783706,112.3278007,-8.07846944,"{""type"":""MultiLineString"",""coordinates"":[[[112.326409854,-8.078225114],[112.326839951,-8.078333782],[112.327800713,-8.07846944]]]}",1132.jpg
1133,1133,JALAN IJEN,JALAN BROMO,JEMBATAN BATAS KELURAHAN BABADAN-WLINGI,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,218.5816434,12,2,2,ASPAL,3,RUSAK RINGAN,GORONGGORONG,112.3277096,-8.075996276,112.3285559,-8.076511258,112.3294021,-8.07702624,"{""type"":""MultiLineString"",""coordinates"":[[[112.327709604,-8.075996276],[112.329402125,-8.07702624]]]}",1133.jpg
1134,1134,GANG KRETEK,JALAN IJEN,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,80.02461634,2.5,0,3,BETON,4,RUSAK BERAT,GORONGGORONG DIBAWAH RUAS JALAN,112.3281955,-8.07629196,112.3284518,-8.076160554,112.3285891,-8.075825365,"{""type"":""MultiLineString"",""coordinates"":[[[112.328195494,-8.07629196],[112.328227964,-8.076238077],[112.32829994,-8.076223488],[112.3284105,-8.076261412],[112.328589133,-8.075825365]]]}",1134.jpg
1135,1135,GANG MEBEL,JALAN BROMO,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,81.23250569,2.3,0,4,PAVING,3,RUSAK RINGAN,GORONGGORONG BAWAH JALAN,112.3282446,-8.074871705,112.3285886,-8.075003432,112.3289326,-8.075135159,"{""type"":""MultiLineString"",""coordinates"":[[[112.328244646,-8.074871705],[112.328932588,-8.075135159]]]}",1135.jpg
1136,1136,JOGGING TRACK,GANG MEBEL,GANG MEBEL,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,111.4231412,2,0,4,PAVING,3,RUSAK RINGAN,GORONGGORONG BAWAH JALAN,112.3286943,-8.07504389,112.3289382,-8.074669242,112.3288186,-8.075091524,"{""type"":""MultiLineString"",""coordinates"":[[[112.328694262,-8.07504389],[112.328878168,-8.074644837],[112.329000771,-8.074694684],[112.328818649,-8.075091525]]]}",1136.jpg
1137,1137,GANG PONDOK H. ATIM,JALAN BROMO,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,41.45476674,2.5,"0,5",2,ASPAL,4,RUSAK BERAT,SALURAN AIR,112.3284463,-8.074445236,112.3282654,-8.074394091,112.3280845,-8.074342945,"{""type"":""MultiLineString"",""coordinates"":[[[112.328446348,-8.074445236],[112.328084526,-8.074342945]]]}",1137.jpg
1138,1138,JALAN WILIS,JALAN BROMO,JALAN MERAPI,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,400.4030828,4,"1,5",2,ASPAL,3,RUSAK RINGAN,SALURAN AIR,112.3279417,-8.075511683,112.3262279,-8.074929793,112.3261109,-8.073431155,"{""type"":""MultiLineString"",""coordinates"":[[[112.327941742,-8.075511682],[112.326765153,-8.075069814],[112.326426287,-8.074960849],[112.326098534,-8.074909552],[112.325904523,-8.07486444],[112.32585036,-8.074819753],[112.326077735,-8.073685485],[112.326110916,-8.073431154]]]}",1138.jpg
1139,1139,GANG 1 WILIS,JALAN WILIS,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,82.25938921,1.5,0,4,PAVING,3,RUSAK RINGAN,GORONGGORONG DIBAWAH JALAN,112.3270746,-8.075186035,112.3271777,-8.074828602,112.3272807,-8.074471168,"{""type"":""MultiLineString"",""coordinates"":[[[112.32707462,-8.075186035],[112.327280685,-8.074471168]]]}",1139.jpg
1140,1140,GANG 2 WILIS,JALAN WILIS,BUNTU,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,50.5710644,1.5,0,3,BETON,3,RUSAK RINGAN,,112.326662,-8.075036639,112.3267165,-8.074814547,112.3267709,-8.074592456,"{""type"":""MultiLineString"",""coordinates"":[[[112.326661985,-8.075036639],[112.326770916,-8.074592455]]]}",1140.jpg
1141,1141,GANG MASJID WILIS,JALAN WILIS,GANG MASJID MERAPI,GURIT,24,1002,BABADAN,8,35.05.17,WLINGI,103.7647132,2,"0,5",4,PAVING,3,RUSAK RINGAN,GORONGGORONG,112.3263102,-8.074942682,112.3263991,-8.074481658,112.3266679,-8.074284732,"{""type"":""MultiLineString"",""coordinates"":[[[112.326310215,-8.074942683],[112.326442712,-8.074255554],[112.32646665,-8.07423454],[112.326667879,-8.074284732]]]}",1141.jpg
